BRAND,SERIES,DETAIL_PICTURE,ARTICLE,BARCODE,NAME,ЦЕНА,AGE,COUNTRY,MATERIAL,PACK,WEIGHT,SIZE,GENRES,DESCRIPTION,SUPPLIER,PICTURES,YEAR
,,,23544TS,687554245523 ,"23544TS Игр.Калейдоскоп ""История игрушек""",136.13,от 3 лет,Китай,Пластик,,,,,,,https://yadi.sk/i/w2jHwJg6q4wQ5,
,,,238989,9323433238989,238989 PLANES. Самолет в закрывающемся пакете,99.00,от 3 лет,Китай,Пластик,,,,,,,https://yadi.sk/i/l3wCPLIaq4wQj,
,,,24552TS,,"24552TS Игр.Летающий диск ""История Игрушек""",99.00,от 3 лет,Китай,Пластик,,,,,,,https://yadi.sk/i/AxykOmp8q4wSQ,
,,,304025,4716383040255,"304025 3D магнит ""Кошки"" в асс. (5,2*12,5), MARRIL (40шт)",49.50,от 3 лет,Китай,Пластик,,,,,,,https://yadi.sk/i/Nx2IBOxPq4wTF,
,,,309007,,"309007 3D стикер Винни в асс. (9,5*15), STW (96шт)",49.50,от 3 лет,Китай,Пластик,,,,,,,https://yadi.sk/i/Lq04nvayq4wU2,
,,,315109,4716383151098,"315109 3D магнит ""Винни"" зимний в асс. (8,5*8), MARRWP-NY (48шт)",49.50,от 3 лет,Китай,Пластик,,,,,,,https://yadi.sk/i/zT-nkD5Hq4wUS,
,,,318001,,"318001 3D магнит ""Микки"" в асс. (8,5*8), MAMK (48шт)",49.50,от 3 лет,Китай,Пластик,,,,,,,https://yadi.sk/i/w3tq8tAoq4wUz,
,,,320045,,"320045 3D магнит ""Принцессы"" в асс. (8,5*8), MARRPS (48шт)",49.50,от 3 лет,Китай,Пластик,,,,,,,https://yadi.sk/i/MJwCo9E7q4wVF,
,,,325001,,"325001 3D магнит ""История Игрушек"" в асс. (8,5*7), MARRTY (30шт)",49.50,от 3 лет,Китай,Пластик,,,,,,,https://yadi.sk/i/YgKT-ckeq4wVj,
,,,50702,6937890512129,50702 Троянский конь (3/20),618.75,от 3 лет,Китай,ДЕРЕВО,,,,,,,https://yadi.sk/i/tOwoWHxZq4wW4,
